no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
79,FEEDBACK GONE ROGUE,Experience,Projection,,Event,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/671416125554294784/feedback-gone-rogue-longer-video-below,https://64.media.tumblr.com/4b26602f61cc8a7502682247862ba734/072e6a1df66000c1-93/s540x810/5d068d64e6ceff786f3de9c33b37b7e728616d8c.gifv,2021,October,10/25/2021,515,12360,8
80,blob flowy person,Experience,Projection,,Event,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/671418729471655936/blob-flowy-person-like-ten-more-seconds-in-video,https://64.media.tumblr.com/6542b67a5d8229fc8f7bc6465c5fada7/7aa6119f2cd677db-fc/s540x810/df4b4937e325a5430d0db60a853bf429294137bd.gifv,2021,October,10/27/2021,517,12408,4
81,thermo flowy person,Experience,Projection,,Event,Interactive projection.,"Projector, Kinect",Physical,https://karynnakamura.com/post/671418503489781760/thermo-flowy-person-mit-hayden-library-wall,https://64.media.tumblr.com/6093b2c64278fb5a2021ed650e073a2c/ab52091bcf7ce8d8-61/s540x810/df4fbe026d6cc54c9bd2f32b3eb9c29bc676a00a.gifv,2021,October,10/28/2021,518,12432,4
82,the Jon Rafman corner of my room.,Experience,Installation,,Analog,-,"Misc ewaste, posters",Physical,https://karynnakamura.com/post/671429283999268864/the-jon-rafman-corner-of-my-room,https://64.media.tumblr.com/6aa3c4db9f83df9b3cc5b2e1a1007343/35ee102b5abde424-51/s1280x1920/5b6624d9ed12bb05340bc2e7ff44cf4a73baeaf7.jpg,2021,October,10/31/2021,521,12504,0.2
83,BATTERY,Experience,Projection,,"Fucking with people, Event",Projection for event.,,Physical,https://karynnakamura.com/post/671427439325511680/battery-mit-kendall-square-open-space-1132021,https://64.media.tumblr.com/716b4ce148d9237db961724cff72359b/9ef1d4922d18916e-20/s1280x1920/600dbbb26380eabcb8c21e7ee1139fc8d232ed5f.jpg,2021,November,11/3/2021,524,12576,2
84,depth thing,Experience,Projection,,Perception,Interactive Projection.,Projector,Physical,https://karynnakamura.com/post/671425678728658944/depth-thing-mit-building-7-4th-floor-demo-with,https://64.media.tumblr.com/fe71b216c145b42d2b84b38f0d94f214/d49b0637676adfc3-30/s540x810/b737890b8ab4fcaf3dba459cfe4e9e2099b4692a.gifv,2021,November,11/6/2021,527,12648,3
85,exploding letters,Experience,Projection,Graphic Design,,Interactive Projection.,Projector,Physical,https://karynnakamura.com/post/671422273400553472/exploding-letters-mit-building-7-4th-floor-type,https://64.media.tumblr.com/95a9b9f486b79f9fce64782b69f1324b/f373a2b7b7f75742-4a/s1280x1920/0b8c1050682f3cbdef5aa8bcc882947ca524ee05.png,2021,November,11/7/2021,528,12672,18
86,Audio Droplets,Experience,Projection,Audiovisual,Speech,Interactive Projection with live physics.,Projector,Physical,https://karynnakamura.com/post/671422843465121792/audio-droplets-mit-building-7-4th-floor-audio,https://64.media.tumblr.com/54dee3d588079f058db399f36b302016/e2a2a23991d49ae7-21/s540x810/cb4b013f09834774ed38c0021c6f1da0e924bfa4.gifv,2021,November,11/8/2021,529,12696,4
87,data for dinner,Video,Projection,,"Fucking with people, Event",Video screening performance.,3 Projectors,Physical,https://karynnakamura.com/post/671429167284469760/data-for-dinner-mit-26-100-11112021-mystery,https://64.media.tumblr.com/15563bb688edb52d937b4a3b86a3c6bc/ec29b006c518b309-fc/s1280x1920/cb695caa3f4b2d5cf95497bbe8026787b1b90ff6.jpg,2021,November,11/11/2021,532,12768,1
88,technilogiefjs,Experience,Projection,,,Interactive projection.,"Projector, Arduino, LED",Physical,https://karynnakamura.com/post/671427712948240384/technilogiefjs-guys-look-at-that-i-turned-an,https://64.media.tumblr.com/8a2cb6a2fd11f78beb94d9227b19ddfe/48a8137f391c2309-5b/s540x810/a5e50c2f73aef8264b96c917dc207d73b2cd1ed3.gifv,2021,November,11/12/2021,534,12816,0.3
